id,document,label
8525343,나 이거 더빙을 누가하는지 모르고 봤는데 왠지 더빙이 구리더라...더빙이 너무 별로였음.,0
4572888,현암이 소지섭이었으면 좋았겠는데..스토리각색도 좀 깔끔하게...,0
8504845,"ㅎㅎㅎ 대단하네 ㅜ,.ㅡ",0
5003367,이거보고 돈날린 기억이...........,0
3015049,한국영화 어쩌다 이지경까지 ㅠㅠ,0
6419770,북한이나 다를바없네,0
4455233,그 때는 통했겠지..,0
2536809,이건 유희왕도 아니고 타짜도 아녀....,0
1913318,이런 썅;;;;,0
4427127,그냥 광고네!,0
4873853,뭐긴뭐야 니 얼굴같은 영화임,0
8062400,ㅋㅋ정말 오랜만에 본 최악의영화내용..감동..볼거리 아무것도 없음....,0
4846710,뭐 어쩌라고,0
8692918,별로입니다. 아깝습니다.,0
7448979,.,0
10171555,말이필요없는 쓰레기영화 시간아까움,0
6223766,나도 이감독영화 몇편 볼 정도로 호감은 있지만...이 영화는 5점 주기도 아깝다,0
5189517,내가 달라진건가?,0
9783034,진부해...여주 이뻐서 그나마4점준다ㅠㅠ,0
6724104,오유에서 성지순례왔슴돠^^,0
2561074,비추천_!,0
8527352,꽹가리소리가 거슬려 대화가안들릴정도..,0
6363376,정말 재미 없음. 발연기 끝판왕,0
8050916,명배우들을 모아서 졸작을 만들었군.,0
18334,젠장~~~!!!!,0
10079590,이준기 따위가 감히 나의 아오이랑?,0
9784778,"죽은 연인을 그리워하는 마음에 복제인간을 출산한 거까지는 공감할 수 있고, 영화가 끝난 뒤 묘한 여운과 주인공에 대한 연민이 느껴진다. 하지만, 내용적으로 어쩔 수 없이 불편하고, 정적이고 느린 연출 탓에 따분함을 견디기 힘들다.",0
6100094,4.4,0
7523169,곽재용의 실패작.액션은 그의 장점이 아니다..,0
7781629,히힛 일본시름,0
9834895,나는 도대체 이걸 왜 본걸까,0
9574300,별로 재미도없고 감동도없고... 닉쿤한테 왜내가 미안한지 닉쿤왜 넣었대 ㅋ,0
3630417,진짜 이런영화 왜만드는거니 지루하다,0
8889702,와 웬만한 로코는 병맛에 보는 편이고 저도 운명을 꿈꾸지만 이건 좀 심하다 싶을 정도로 뜬금포네요 ost는 좋네요,0
8758238,진짜 뭔소리를하는건지...,0
9824887,핵노잼ㅠㅠㅠ 재미도 감동도 없네,0
370441,너무 늦게 나온 골리앗 떨어진 연출력,0
7233507,나 진짜 앵간해선 영화보고 욕안하는데 진짜 길이역사에남을 OOOO영화. 니들 꼭봐라 ㅋㅋㅋ,0
2827616,고등학교 2학년 소풍 때 이것을 보았더랬지.. 우린 모두 당황했다...^^,0
6684241,이렇게 매력없고 짜증나는 주인공은 첨인 듯 ....언제쯤 웃기려나 하고 참고 보다 영화 끝났네 쓰레기다 쓰레기,0
10256750,유지태 질린다.;ㅓ'ㅓ',0
1369726,그냥 볼만했던..,0
3381028,"내용도 밋밋, 로맨스도 밋밋... 여주인공이 아깝다... ㅡ.ㅜ",0
682294,오드리가 살아나지 못한 영화 무엇을 이야기 하려 했을까,0
8378410,mbc 드라마 왜이래요..대체 이거 언제 끝나요 오랜 습관이라 매일 아침 켜놓고는 있지만 몇부작인지 나와 있지도않고 아놔..이것도 드라마라고 진짜..,0
9479148,코미디도 아니고 액션도 아니고 도대체 넌 뭐냐...앤 해서웨이때문에 2점준다.,0
9221897,최악최악최악최악최악,0
7003225,이건 1959년에 만든 명작 공포 철학 영화를 OO으로 만들어낸 쓰레기 영화다 nc님의 비교 리뷰 봐라,0
9072146,욕이 절로 나오는 쓰레기 영화,0
4451414,감독 나오라고 해!!!!!!!,0
8850494,"그래 1954년에 최초로 일본이 고질라를 만들고 원조인건 알겠는데, 왜 뜬금없이 고질라랑 유에프오랑 싸우는거냐? 둘이 힘을합쳐 지구를 무찌를생각을 해야지 멍청한것들. 일단 애새끼가 출연해서 점수는 1점이다.",0
8561829,시간 떼우기용으로도 별로였던 영화.,0
10106321,이거 첨 해봄 이거 최악임,0
5696936,이젠 야동도 리얼 쓰리디 시대인가봐,0
8652871,"명배우와 자본, 스텝을 허비하는 가장 극적인 방법.",0
7134893,뭔가 있겠지... 보다 지쳐 포기하다.,0
4440915,졸작중의 졸작입니다 시간낭비 하지 마세요,0
326877,포스터문구가더재밌다북에서50년만에왔습네다-_-,0
7460090,늘 좋아라 하다.,0
7172515,포스터부터 망함 ㅅㄱ,0
7432381,제주해군기지 무사히 완공되길 기원합니다. 우리 바다 지켜냅시다,0
4313084,"별하나도 아깝다 단지 린즈링만 빛날뿐 영화는 쓰레기,",0
4463438,880편이나 되는 드라마를DVD로 보존도 하지않는 인간들의 나라.드라마는 10점.,0
7796315,전편을 그대로 답습하는데다 심지어 그만큼 재밌지도 않다 아쉽다,0
10107708,나는 진짜 재미없었어..,0
609091,유치한 스토리. 소풍 정도의 느낌,0
7137415,그놈의 박철수란 이름 언제까지 우려먹을지...후배 영화 감독들 보기 안쪽팔린가...,0
9947659,공포영화라고 하기엔 너무느리고 무섭지않다보면서 답답해죽는줄,0
2670903,독특하긴한데 재미는 영,0
9463860,대체 이게 뭔소리여!!! 방사는 쩌는 바닷가는 가서 뭐할라고!! 로봇은 그래서 뭐 어쨌다는거지??? 뭔가 있어보이게 만들려고 노력은 했는데 완전 개연성 없음.,0
1871326,00000000000000000000000000000을달라,0
9367370,평점에 속지마세요 1점도아깝습니다,0
4787292,베테랑 배우들이 고군분투했으나 결과는 참혹,0
7183288,짜증 유발 억지감동물. 휴먼스토리의 탈을 쓴 스릴러물이지만 그렇다고 스릴러물도 아닌 어정쩡한 영화. 데스노트 L급으로 최악이다. 심장이 뛰기는 개뿔.( 아 왜 네이버 영화는 평점 0점 못주게 되어있는거지),0
8732170,"잔인하고 말고 다 떠나서, 이렇게 허접한 시나리오로 끝까지 촬영했다는게 호러다.",0
9692955,"배우의 아우라와 영화분위기는 좋다. 다만 자신의 아이가 유산됐다는 이유로 지속적인 갱과의 마찰은 이해 불가. 개연성 부족 스토리 빈약.복선을 뛰어넘은 자체 대사스포일조직에 잠입하여 와해시킬것인지, 정확한 목표의식 또한 보여주지않음.",0
7432420,"평점왜저래높노,,,,,",0
